, Period 1, Period 2, Period 3, Period 4, Period 5, 
Monday, Math, LA, Grammar, Science, CS, 
Tuesday, Math, LA, Grammar, Science, CS, 
Wednesday, Math, LA, Grammar, Science, CS, 
Thursday, Math, LA, Grammar, Science, PE, 
Friday, PE, Spanish, 
