, Period 1, Period 2, Period 3, Period 4, Period 5, 
Monday, Grammar, Science, Math, LA, Spanish, 
Tuesday, Grammar, Science, Math, LA, Spanish, 
Wednesday, Grammar, Science, Math, LA, Spanish, 
Thursday, Grammar, Science, Math, LA, 
Friday, CS, PE, 
